                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6682,                 2.0816,                  2.182,                0.49792,                0.43615,                0.32048,                0.18042,                 1.9727,                 2.3636,                 2.8641,               0.006733,               0.006733,               0.006733
                     35,                 1.6836,                 2.0915,                 2.1927,                0.48521,                0.48212,                0.35454,                0.19354,                 1.8462,                 2.3591,                 2.7652,               0.006634,               0.006634,               0.006634
                     36,                 1.6176,                 2.0022,                 2.1394,                0.59121,                0.36949,                  0.383,                 0.1925,                 1.9311,                 2.4322,                 2.8402,               0.006535,               0.006535,               0.006535
                     37,                 1.6504,                 2.1002,                 2.1687,                 0.4454,                0.44975,                0.34979,                0.17619,                 2.0556,                 2.6631,                 3.1145,               0.006436,               0.006436,               0.006436
                     38,                 1.5941,                 2.0259,                 2.1064,                0.67053,                0.39536,                0.38674,                0.19565,                 1.9637,                 2.4555,                 2.8554,               0.006337,               0.006337,               0.006337
                     39,                 1.6123,                 2.0057,                 2.1162,                0.60581,                0.42753,                0.39581,                0.20323,                 1.8628,                 2.3593,                 2.7808,               0.006238,               0.006238,               0.006238
                     40,                 1.6226,                  2.015,                 2.1224,                0.61585,                0.42869,                0.39548,                0.21922,                 1.8242,                 2.2893,                 2.7319,               0.006139,               0.006139,               0.006139
                     41,                 1.6223,                 2.0131,                 2.1113,                0.57989,                0.41642,                0.37482,                0.20857,                  1.876,                 2.3801,                 2.7797,                0.00604,                0.00604,                0.00604
                     42,                 1.5752,                 1.9608,                  2.062,                0.63821,                0.44229,                0.42626,                0.21789,                 1.8744,                 2.1787,                 2.8456,               0.005941,               0.005941,               0.005941
                     43,                 1.5695,                 1.9255,                 2.0605,                0.63904,                0.41642,                0.39111,                0.21802,                 1.9606,                 2.3116,                 2.8763,               0.005842,               0.005842,               0.005842
                     44,                 1.5995,                 2.0174,                 2.1041,                0.58747,                0.45469,                0.40198,                0.18919,                 1.9106,                 2.3813,                 2.8546,               0.005743,               0.005743,               0.005743
